project_name,team_name,description,github_url,track_name,technologies,team_members,demo_url,video_url
Network Development,Team_33941,"This project focuses on building and improving a strong, flexible, and secure network infrastructure. - Develop a scalable network infrastructure capable of supporting large-scale applications. - Enhance security protocols to protect data and communication between nodes. - Provide decentralized solutions to reduce reliance on a single central authority. - Build performance monitoring tools to simplify debugging and optimization.",https://github.com/mgdnig1844,DLT for Operations,"1, 2",,,https://youtube.com/shorts/6j0_DQiIqHM?si=XX3BxYPREwiIRW__
AgriVeri,Team_33939,"Problem Farmers across Africa often face unfair delays in payments and lack transparency in the supply chain. Consumers, on the other hand, are unsure about the origin and safety of their food, reducing trust in the market. Solution AgriVeri leverages Hedera’s distributed ledger technology to create a farm-to-market solution where: - Farmers receive instant payments through smart contracts.",https://github.com/gracequaye1,Onchain Finance & Real-World Assets (RWA),"Crypto / Web3, 1, 2",,https://gracegrace-portfolio.netlify.app/,
Cryptonia CITY,Team_33936,"In the midst of crypto chaos, Cryptonia City is a digital world where people can play, learn, and connect through simple games, quizzes, and community events. Think of it as a social hub with rewards—built to be fun first, but also to show how Web3 can add real value. We started it as an experiment on Telegram and quickly brought in thousands of testers. Now we’re taking it further on Hedera, because the network gives us the speed, fairness, and low costs we need to make the experience smooth...",https://github.com/Marshalllife/city,Immersive Experience,,,,
EcoSeal,Team_33935,"An Instant Green and ESG Supply Chain Proof EcoSeal is a protocol that delivers instant, verifiable ESG trust to agricultural and perishable supply chains in Africa. It allows every actor, from farmers to distributors to exporters, to prove their sustainable and ethical practices in a transparent, low-friction way. By bridging offline realities like farm-level practices and local certifications with online verification through blockchain and APIs, EcoSeal ensures that global buyers can instan...",,DLT for Operations,1,,,
AgriChain,Team_33933,"AgriChain – The Smart Decentralized Platform for African Agriculture AgriLink is a decentralized application powered by Hedera and artificial intelligence that connects farmers, consumers, and investors within a traceable, secure, and fair agricultural supply chain. The platform provides instant payments, intelligent weather forecasting, AI-assisted crop diagnostics, training in local languages, and an AI chatbot available 24/7 to support users.",,DLT for Operations,"AI / Robotics, 2, 1",,,
Carbon Ledger,Team_33932,"Problem Solved: Double Counting, Opacity & Illiquidity Traditional carbon markets suffer from double-counting and lack of trust. Furthermore, offset credits are often illiquid. We solve this using DLT. Solution Overview: Carbon Ledger is a transparent, decentralized platform built on Hedera DLT for tracking, retiring, and trading verified carbon offsets. Key Technical Features: 1. Tokenization (HTS) & Trading: We create a Fungible Token ($\text{vCO2}$) on the Hedera Token Service (HTS). This ...",https://github.com/me50/Fatma929,DLT for Operations,1,,https://www.linkedin.com/in/fatma-elzahraa-96b68a284?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=android_app,
Titaflow,Team_33928,"TitaFlow is a platform for coordinating configurable fund distribution. Instead of relying on rigid tools or manual processes, creators set up a “funding flow” where they define the rules and add recipients. Hadera handles the rest, ensuring transparent, efficient, and accountable fund distribution across any use case, from grants and prizes to community or team allocations.",https://github.com/ANTONINEUTRON/tita_flow,Onchain Finance & Real-World Assets (RWA),"Crypto / Web3, 2",,,
ECO-BANA QUEST,Team_33927,"​The Democratic Republic of Congo (DRC), and its capital city Kinshasa, faces acute challenges in urban infrastructure management and sustainable development, particularly concerning waste and sanitation. This issue stems from two primary problems: 1. ​Inefficient Centralized Operations (DLT Track Problem): Traditional, centralized waste management and infrastructure maintenance systems are often plagued by a lack of transparency, slow feedback loops, and limited funding distribution. Without...",https://github.com/votre-organisation/eco-bana-quest,DLT for Operations,"Crypto / Web3IPFSNFTDeFiGameFiRWAHederaN/AN/ A, 1",,,
Mediproof,Team_33926,"Health Record Verification on Hedera Problem Statement The integrity of health records is a critical issue worldwide: Fake medical documents such as vaccination cards or test results are increasingly common. Many healthcare providers still rely on paper-based systems that are vulnerable to fraud and errors. Lack of trust between patients, hospitals, and government authorities undermines effective healthcare delivery.",https://github.com/Adamu200,DLT for Operations,"Crypto / Web3Health carePublic goodIdentity, 1",,https://icpc.gov.ng/icpc-case-fake-doctor-who-used-certificate-of-his-best-friend-to-secure-appointment-in-ministry-of-health-bags-4-year-jail-term,
AfriOne,Team_33925,"AfriOne is a revolutionary neo-bank that transforms Africa's most trusted financial practice - rotating savings (tontines/chamas) - into the world's first decentralized P2P lending circle platform. Built on Hedera's infrastructure, AfriOne combines the cultural familiarity of traditional African finance with the power of blockchain technology to serve 400+ million unbanked Africans. The Breakthrough: While 99% of unbanked Africans already participate in rotating savings, no platform has succe...",https://github.com/UncleTom29/Afrione,Onchain Finance & Real-World Assets (RWA),,,https://afrione.vercel.app/,https://youtu.be/1UfQSW0O9k0
